tweet_id,retweet_count,favorite_count
892420643555336193,6934,33193
892177421306343426,5236,28685
891815181378084864,3448,21574
891689557279858688,7146,36158
891327558926688256,7676,34594
891087950875897856,2567,17409
890971913173991426,1635,10158
890729181411237888,15604,55744
890609185150312448,3592,24024
890240255349198849,6037,27369
890006608113172480,6083,26505
889880896479866881,4119,24059
889665388333682689,8258,41187
889638837579907072,3679,23194
889531135344209921,1864,13069
889278841981685760,4398,21616
888917238123831296,3726,25117
888804989199671297,3495,22005
888554962724278272,2849,16978
888078434458587136,2864,18739
887705289381826560,4495,26072
887517139158093824,9757,39888
887473957103951883,14868,59068
887343217045368832,8721,29023
887101392804085760,4944,26393
886983233522544640,6245,29775
886736880519319552,2599,10295
886680336477933568,3698,19333
886366144734445568,2602,18172
886267009285017600,4,103
886258384151887873,5219,24066
886054160059072513,92,0
885984800019947520,5563,28012
885528943205470208,5281,30976
885518971528720385,3085,17592
885311592912609280,15283,0
885167619883638784,3634,18864
884925521741709313,14847,65951
884876753390489601,4615,23878
884562892145688576,3872,20903
884441805382717440,4760,23384
884247878851493888,16716,62195
884162670584377345,2478,17562
883838122936631299,2837,18747
883482846933004288,8178,39341
883360690899218434,3052,19565
883117836046086144,5480,31865
882992080364220416,3213,20579
882762694511734784,4057,24310
882627270321602560,5008,24099
882268110199369728,9521,38485
882045870035918850,4045,25192
881906580714921986,2826,21018
881666595344535552,8862,43612
881633300179243008,8,111
881536004380872706,13271,42596
881268444196462592,4459,20048
880935762899988482,2313,14705
880872448815771648,3183,18336
880465832366813184,5166,24552
880221127280381952,3440,23195
880095782870896641,3618,23830
879862464715927552,2897,19288
879674319642796034,9,278
879492040517615616,2608,20270
879415818425184262,36993,91101
879376492567855104,2623,14543
879130579576475649,5679,0
879050749262655488,3909,19414
879008229531029506,2222,16407
878776093423087618,3404,16752
878604707211726852,5868,25945
878404777348136964,1063,0
878316110768087041,5477,0
878281511006478336,1063,6643
878057613040115712,5679,36280
877736472329191424,15641,68017
877556246731214848,3133,19495
877316821321428993,4297,23701
877201837425926144,4577,23403
876838120628539392,2785,17864
876537666061221889,3942,20559
876484053909872640,1983,16236
876120275196170240,3872,24196
875747767867523072,3550,21658
875144289856114688,4123,19041
875097192612077568,5071,23749
875021211251597312,3939,22083
874680097055178752,3884,24054
874434818259525634,12113,0
874296783580663808,3450,22517
874057562936811520,3353,19666
874012996292530176,8511,29509
873580283840344065,3318,20932
873337748698140672,1321,0
873213775632977920,1321,6204
872967104147763200,4518,23614
872820683541237760,3135,12804
872620804844003328,3045,17894
872486979161796608,7648,35346
872122724285648897,6767,29657
871879754684805121,9157,32401
871762521631449091,2939,17504
871515927908634625,2915,17516
871166179821445120,4862,0
871102520638267392,4627,18202
871032628920680449,3196,19776
870804317367881728,5237,29228
870726314365509632,3,101
870656317836468226,2181,10666
870374049280663552,22520,72186
870308999962521604,3521,19089
870063196459192321,7019,31802
869772420881756160,8617,37153
869702957897576449,5337,24552
869596645499047938,2612,13854
869227993411051520,3168,17773
868880397819494401,12136,56915
868639477480148993,1731,0
868622495443632128,4423,23162
868552278524837888,1731,8772
867900495410671616,3544,21178
867774946302451713,6199,29697
867421006826221569,2101,14039
867072653475098625,100,0
867051520902168576,6723,28133
866720684873056260,4096,17520
866686824827068416,2937,16788
866450705531457537,29900,106733
866334964761202691,12113,45759
866094527597207552,7098,0
865718153858494464,4788,22452
865359393868664832,4245,23148
865006731092295680,6608,24577
864873206498414592,7432,28276
864279568663928832,2554,12808
864197398364647424,7502,26161
863907417377173506,3561,18063
863553081350529029,3597,13385
863471782782697472,2077,0
863432100342583297,4518,20876
863427515083354112,80,1931
863079547188785154,945,7774
863062471531167744,2077,7378
862831371563274240,4422,16899
862722525377298433,3058,15041
862457590147678208,4206,17928
862096992088072192,19809,65047
861383897657036800,9178,31689
861288531465048066,3557,15057
861005113778896900,3300,14696
860981674716409858,1839,0
860924035999428608,671,0
860563773140209665,1839,6598
860524505164394496,4561,20796
860276583193509888,3037,16216
860184849394610176,5076,14717
860177593139703809,26436,0
859924526012018688,3552,17265
859851578198683649,3039,13683
859607811541651456,1354,16510
859196978902773760,26035,79046
859074603037188101,11863,29867
858860390427611136,7010,0
858843525470990336,3004,13868
858471635011153920,4216,19095
858107933456039936,2516,13964
857989990357356544,2250,14203
857746408056729600,9252,30256
857393404942143489,1432,5207
857263160327368704,3942,17935
857214891891077121,16,200
857062103051644929,145,0
857029823797047296,3459,16747
856543823941562368,2521,14527
856526610513747968,1640,10613
856288084350160898,15,480
856282028240666624,5532,24775
855862651834028034,21,298
855860136149123072,846,4330
855857698524602368,1842,10632
855851453814013952,15980,40897
855818117272018944,4775,23857
855459453768019968,7244,26641
855245323840757760,5215,0
855138241867124737,36,0
854732716440526848,5302,20308
854482394044301312,5966,26105
854365224396361728,4115,16870
854120357044912130,6540,28613
854010172552949760,2773,14519
853760880890318849,5083,25587
853639147608842240,8776,31015
853299958564483072,3141,13874
852936405516943360,1780,0
852912242202992640,1582,8082
852672615818899456,1895,13383
852553447878664193,3089,14613
852311364735569921,8797,29782
852226086759018497,6036,18001
852189679701164033,1409,10365
851591660324737024,3098,14666
851464819735769094,6252,21845
851224888060895234,5117,18682
850753642995093505,8021,27640
850380195714523136,2311,11820
850333567704068097,302,3130
850145622816686080,3363,14716
850019790995546112,4330,18422
849776966551130114,6765,27411
849668094696017920,4406,0
849412302885593088,2808,14391
849336543269576704,1676,10346
849051919805034497,7561,38232
848690551926992896,3897,22807
848324959059550208,4112,22374
848213670039564288,643,7385
848212111729840128,2698,14740
847978865427394560,2896,0
847971574464610304,393,0
847962785489326080,4531,21354
847842811428974592,1181,4933
847617282490613760,376,6333
847606175596138505,3062,17027
847251039262605312,3884,18602
847157206088847362,5214,17995
847116187444137987,2860,19482
846874817362120707,3520,18293
846514051647705089,10292,40380
846505985330044928,2742,12804
846153765933735936,8083,28565
846139713627017216,9096,28249
846042936437604353,2570,14527
845812042753855489,7807,26530
845677943972139009,4355,22962
845397057150107648,1608,6952
845306882940190720,4817,21235
845098359547420673,6887,0
844979544864018432,2301,12436
844973813909606400,2826,13683
844580511645339650,2796,14976
844223788422217728,1976,12473
843981021012017153,2682,13851
843856843873095681,4137,19576
843604394117681152,2468,15429
843235543001513987,5358,19609
842846295480000512,3292,13963
842765311967449089,1172,6184
842535590457499648,3147,16580
842163532590374912,5215,22335
842115215311396866,2735,12808
841833993020538882,13449,0
841680585030541313,7106,23569
841439858740625411,3283,11505
841320156043304961,4988,18081
841314665196081154,4205,14470
841077006473256960,4862,20904
840761248237133825,1609,0
840728873075638272,14518,0
840698636975636481,2,161
840696689258311684,887,11243
840632337062862849,1609,8262
840370681858686976,4148,15025
840268004936019968,5166,17578
839990271299457024,2053,12302
839549326359670784,7010,25139
839239871831150596,5879,24786
838952994649550848,3641,18023
838921590096166913,1843,10217
838916489579200512,31,0
838831947270979586,9940,0
838561493054533637,1226,10035
838476387338051585,4312,20607
838201503651401729,9112,0
838150277551247360,299,1547
838085839343206401,0,129
838083903487373313,2822,16171
837820167694528512,7097,31254
837482249356513284,401,3532
837471256429613056,2051,11774
837110210464448512,2165,14777
836989968035819520,2096,11721
836753516572119041,4227,17776
836677758902222849,2005,11587
836648853927522308,505,0
836397794269200385,24831,0
836380477523124226,2727,13614
836260088725786625,3952,19574
836001077879255040,3859,17556
835685285446955009,7352,0
835574547218894849,3274,16333
835536468978302976,1536,0
835309094223372289,18982,0
835297930240217089,2722,15116
835264098648616962,1536,7094
835246439529840640,63,1960
835172783151792128,5260,24116
835152434251116546,2738,20599
834931633769889797,1479,9909
834786237630337024,5071,19791
834574053763584002,2290,12574
834477809192075265,9681,0
834458053273591808,1531,8866
834209720923721728,4292,18899
834167344700198914,3336,14544
834089966724603904,1954,9273
834086379323871233,2022,12013
833863086058651648,2189,12370
833826103416520705,3466,16770
833732339549220864,202,0
833722901757046785,2975,19286
833479644947025920,1869,13747
833124694597443584,4406,18608
832998151111966721,1992,12197
832769181346996225,38,0
832757312314028032,3291,15525
832682457690300417,2642,10941
832645525019123713,481,2681
832636094638288896,2529,14598
832397543355072512,2025,11003
832369877331693569,2896,15759
832273440279240704,2124,10424
832215909146226688,5673,0
832215726631055365,8523,0
832088576586297345,2,56
832040443403784192,8726,0
832032802820481025,4266,16384
831939777352105988,5612,22049
831926988323639298,34,313
831911600680497154,5920,25377
831670449226514432,1674,9594
831650051525054464,1780,6548
831552930092285952,2141,8300
831322785565769729,1428,8573
831315979191906304,1030,6073
831309418084069378,2242,10863
831262627380748289,1873,10943
830956169170665475,1369,7365
830583320585068544,15283,61305
830173239259324417,5195,0
830097400375152640,2674,8972
829878982036299777,4554,0
829861396166877184,1778,11283
829501995190984704,9681,29319
829449946868879360,1838,9703
829141528400556032,6709,22497
829011960981237760,14971,49135
828801551087042563,3128,0
828770345708580865,5344,23594
828708714936930305,10224,33640
828650029636317184,1230,8769
828409743546925057,1068,5929
828408677031882754,1176,7125
828381636999917570,2045,11618
828376505180889089,982,6859
828372645993398273,2702,11622
828361771580813312,165,2027
828046555563323392,2635,10850
828011680017821696,1976,9566
827933404142436356,4781,18520
827653905312006145,2773,14295
827600520311402496,861,6929
827324948884643840,2781,14689
827199976799354881,2040,9817
826958653328592898,4554,19940
826848821049180160,9253,33369
826615380357632002,3645,0
826598799820865537,227,4769
826598365270007810,2164,9262
826476773533745153,3860,17041
826240494070030336,2403,12263
826204788643753985,850,4516
826115272272650244,2836,14454
825876512159186944,1722,9720
825829644528148480,2312,11770
825535076884762624,16213,52734
825147591692263424,4146,16928
825120256414846976,1160,0
825026590719483904,1160,5795
824796380199809024,5048,0
824775126675836928,3243,13787
824663926340194305,1631,9730
824325613288833024,9792,10967
824297048279236611,3538,13977
824025158776213504,557,4465
823939628516474880,2511,9839
823719002937630720,10245,0
823699002998870016,2316,12885
823581115634085888,2423,12000
823333489516937216,22,649
823322678127919110,3683,14532
823269594223824897,9140,0
822975315408461824,3170,16059
822872901745569793,39519,121677
822859134160621569,2096,12204
822647212903690241,5894,0
822610361945911296,2706,13701
822489057087389700,5893,16804
822462944365645825,13007,25892
822244816520155136,9140,32486
822163064745328640,4333,0
821886076407029760,2117,10471
821813639212650496,3100,0
821765923262631936,1549,7749
821522889702862852,1620,7426
821421320206483457,5080,0
821407182352777218,3960,10927
821153421864615936,8,228
821149554670182400,1813,7961
821107785811234820,1953,8880
821044531881721856,2099,11696
820837357901512704,6175,0
820749716845686786,9112,29243
820690176645140481,2981,11367
820494788566847489,520,0
820446719150292993,2370,0
820314633777061888,520,3097
820078625395449857,5722,18305
820013781606658049,1074,0
819952236453363712,1074,4934
819924195358416896,4505,12039
819711362133872643,2833,12363
819588359383371776,1856,8961
819347104292290561,1106,6693
819238181065359361,376,2083
819227688460238848,6175,21361
819015337530290176,34220,0
819015331746349057,17633,0
819006400881917954,17632,42286
819004803107983360,34220,81306
818646164899774465,19234,0
818627210458333184,6990,20877
818614493328580609,2330,9140
818588835076603904,5628,0
818536468981415936,2247,10069
818307523543449600,7379,0
818259473185828864,2064,10207
818145370475810820,2343,11408
817908911860748288,729,4525
817827839487737858,24831,47860
817777686764523521,2504,10041
817536400337801217,2704,10929
817502432452313088,3111,0
817423860136083457,13449,31317
817415592588222464,884,5210
817181837579653120,7788,0
817171292965273600,1842,8140
817120970343411712,2385,11329
817056546584727552,1502,7996
816829038950027264,4343,0
816816676327063552,1876,9309
816697700272001025,2029,9077
816450570814898180,7379,28199
816336735214911488,1782,8030
816091915477250048,1971,8332
816062466425819140,932,0
816014286006976512,4831,0
815990720817401858,932,4604
815966073409433600,7788,20796
815745968457060357,3828,0
815736392542261248,2097,9129
815639385530101762,1541,7646
815390420867969024,3536,9663
814986499976527872,1181,7128
814638523311648768,2505,10503
814578408554463233,5405,0
814530161257443328,1729,8086
814153002265309185,8025,26804
813944609378369540,2929,0
813910438903693312,1717,8663
813812741911748608,12922,33974
813800681631023104,1632,7729
813217897535406080,6788,17374
813202720496779264,1691,8628
813187593374461952,4007,18465
813172488309972993,1792,8647
813157409116065792,2051,7224
813142292504645637,2224,7906
813130366689148928,416,4180
813127251579564032,2900,11022
813112105746448384,2549,9614
813096984823349248,3349,9827
813081950185472002,2574,9268
813066809284972545,1814,7422
813051746834595840,6792,19565
812781120811126785,1775,7047
812709060537683968,1342,6164
812503143955202048,1139,5633
812466873996607488,1786,7433
812372279581671427,3385,12707
811985624773361665,1301,6780
811744202451197953,1456,7039
811647686436880384,676,5218
811627233043480576,2818,11854
811386762094317568,5921,19474
810984652412424192,1317,4945
810896069567610880,1626,8352
810657578271330305,2442,10233
810284430598270976,10401,32693
810254108431155201,3128,13678
809920764300447744,3645,14477
809808892968534016,4529,0
809448704142938112,1355,6487
809220051211603969,5195,18517
809084759137812480,3263,12305
808838249661788160,2837,9461
808733504066486276,2017,7357
808501579447930884,2435,10552
808344865868283904,19234,39525
808134635716833280,5462,0
808106460588765185,2042,8230
808001312164028416,3277,11631
807621403335917568,3353,13596
807106840509214720,51083,109713
807059379405148160,6821,0
807010152071229440,3593,12204
806629075125202948,32059,69385
806620845233815552,5098,0
806576416489959424,1811,4567
806542213899489280,2201,9560
806242860592926720,10755,0
806219024703037440,1121,6019
805958939288408065,4963,0
805932879469572096,1789,7751
805826884734976000,1700,6139
805823200554876929,7387,0
805520635690676224,1542,5380
805487436403003392,2354,8168
805207613751304193,1614,7326
804738756058218496,3569,12717
804475857670639616,1871,5735
804413760345620481,2979,0
804026241225523202,14882,41432
803773340896923648,2562,9367
803692223237865472,6840,0
803638050916102144,3857,10216
803380650405482500,1755,7253
803321560782307329,4909,0
803276597545603072,2275,9353
802952499103731712,1854,8429
802624713319034886,2702,0
802600418706604034,1372,6646
802572683846291456,2337,8370
802323869084381190,5420,15068
802265048156610565,1281,6492
802239329049477120,2432,8497
802185808107208704,249,0
801958328846974976,1580,7247
801854953262350336,217,1694
801538201127157760,1934,7658
801285448605831168,766,5643
801167903437357056,5462,22714
801127390143516673,3672,0
801115127852503040,1974,7533
800859414831898624,89,639
800855607700029440,1503,0
800751577355128832,2603,9918
800513324630806528,2796,12247
800459316964663297,2042,8883
800443802682937345,3993,0
800388270626521089,2613,10417
800188575492947969,3660,0
800141422401830912,2370,14273
800018252395122689,12186,26495
799774291445383169,4318,0
799757965289017345,1988,7818
799422933579902976,1784,7521
799308762079035393,5036,0
799297110730567681,2535,9228
799063482566066176,2322,7543
798933969379225600,4120,12192
798925684722855936,1346,7006
798705661114773508,6146,0
798701998996647937,7160,0
798697898615730177,6026,0
798694562394996736,4599,0
798686750113755136,2162,0
798682547630837760,4394,0
798673117451325440,5176,0
798665375516884993,3656,0
798644042770751489,1730,0
798628517273620480,1851,0
798585098161549313,5218,0
798576900688019456,5424,0
798340744599797760,3116,0
798209839306514432,2409,9750
797971864723324932,2869,10779
797545162159308800,4581,13605
797236660651966464,6087,18616
797165961484890113,24,210
796904159865868288,8274,0
796865951799083009,1820,7190
796759840936919040,2803,10997
796563435802726400,6666,0
796484825502875648,1635,7048
796387464403357696,3851,10244
796177847564038144,13245,0
796149749086875649,13245,29997
796125600683540480,1673,4648
796116448414461957,2225,8481
796080075804475393,2147,7856
796031486298386433,3467,10078
795464331001561088,21732,46002
795400264262053889,2655,9361
795076730285391872,5048,15080
794983741416415232,3128,0
794926597468000259,2144,9495
794355576146903043,9574,0
794332329137291264,2509,8952
794205286408003585,3083,8601
793962221541933056,4529,15648
793845145112371200,1728,8590
793614319594401792,2893,0
793601777308463104,1501,7421
793500921481273345,2206,9912
793286476301799424,8523,22898
793271401113350145,2229,8087
793256262322548741,7718,18611
793241302385262592,3041,9788
793226087023144960,2689,9111
793210959003287553,2586,8309
793195938047070209,5225,14187
793180763617361921,1844,6427
793165685325201412,2601,8724
793150605191548928,1582,5727
793135492858580992,2327,5972
793120401413079041,3642,11809
792913359805018113,3673,13354
792883833364439040,3960,10514
792773781206999040,1563,6861
792394556390137856,3978,12478
792050063153438720,1653,6649
791821351946420224,19500,0
791784077045166082,8792,0
791780927877898241,3525,0
791774931465953280,20546,42078
791672322847637504,2893,10914
791406955684368384,3828,12252
791312159183634433,2345,8160
791026214425268224,3770,0
790987426131050500,1970,9143
790946055508652032,4343,15571
790723298204217344,2124,0
790698755171364864,1788,7651
790581949425475584,6576,19234
790337589677002753,1751,7272
790277117346975746,2929,11661
790227638568808452,3269,0
789986466051088384,2124,8643
789960241177853952,3785,0
789903600034189313,3847,9589
789628658055020548,1624,6960
789599242079838210,1772,6266
789530877013393408,3128,10888
789314372632018944,2119,8055
789280767834746880,4541,0
789268448748703744,2426,8496
789137962068021249,2583,9049
788908386943430656,11594,25556
788765914992902144,9573,25440
788552643979468800,6601,0
788412144018661376,4883,14470
788178268662984705,1959,6776
788150585577050112,1191,5710
788070120937619456,3188,0
788039637453406209,1213,5689
787810552592695296,2813,8016
787717603741622272,2559,9524
787397959788929025,2643,10125
787322443945877504,1613,7259
787111942498508800,6233,0
786963064373534720,7352,24802
786729988674449408,2246,0
786709082849828864,5673,17029
786664955043049472,2346,9871
786595970293370880,2890,8810
786363235746385920,3192,10107
786286427768250368,2621,7432
786233965241827333,4333,14118
786051337297522688,144,1330
786036967502913536,6442,0
785927819176054784,2954,10591
785872687017132033,1655,6218
785639753186217984,2092,7290
785533386513321988,1820,8408
785515384317313025,1148,5681
785264754247995392,1504,6795
785170936622350336,4446,11164
784826020293709826,2979,9407
784517518371221505,2344,8337
784431430411685888,1167,5342
784183165795655680,7387,18636
784057939640352768,10245,27571
783839966405230592,9940,27834
783821107061198850,1810,6839
783695101801398276,2962,9677
783466772167098368,2061,7808
783391753726550016,5047,15719
783347506784731136,5103,0
783334639985389568,10756,27022
783085703974514689,2001,7576
782969140009107456,6821,22396
782747134529531904,1304,6934
782722598790725632,4963,16004
782598640137187329,1757,7237
782305867769217024,5080,15415
782021823840026624,5665,0
781955203444699136,3111,10363
781661882474196992,2497,9694
781655249211752448,1042,3694
781524693396357120,5098,19209
781308096455073793,2365,6619
781251288990355457,1912,7762
781163403222056960,2562,9074
780931614150983680,6666,20086
780858289093574656,1848,6650
780800785462489090,1189,5087
780601303617732608,3100,11182
780543529827336192,1612,5849
780496263422808064,3382,0
780476555013349377,103,0
780459368902959104,994,4909
780192070812196864,2065,8052
780092040432480260,2110,0
780074436359819264,4524,11231
779834332596887552,6442,17419
779377524342161408,2856,8103
779124354206535695,16822,0
779056095788752897,4172,13651
778990705243029504,6593,18446
778774459159379968,9051,0
778764940568104960,332,801
778748913645780993,1197,6341
778650543019483137,1378,5305
778624900596654080,932,4263
778408200802557953,3973,12629
778396591732486144,11213,0
778383385161035776,1010,5388
778286810187399168,3036,9545
778039087836069888,2436,7868
778027034220126208,1480,6069
777953400541634568,3237,0
777885040357281792,1504,5875
